Block at (0, 0) - Average Color: 171,65,93
Block at (35, 0) - Average Color: 174,62,83
Block at (70, 0) - Average Color: 174,59,69
Block at (105, 0) - Average Color: 179,61,71
Block at (140, 0) - Average Color: 179,64,74
Block at (175, 0) - Average Color: 180,86,90
Block at (0, 35) - Average Color: 145,75,80
Block at (35, 35) - Average Color: 134,65,89
Block at (70, 35) - Average Color: 169,62,71
Block at (105, 35) - Average Color: 175,65,74
Block at (140, 35) - Average Color: 125,70,84
Block at (175, 35) - Average Color: 144,117,86
Block at (0, 70) - Average Color: 109,76,65
Block at (35, 70) - Average Color: 50,61,78
Block at (70, 70) - Average Color: 172,63,80
Block at (105, 70) - Average Color: 174,74,87
Block at (140, 70) - Average Color: 86,62,78
Block at (175, 70) - Average Color: 139,96,106
Block at (0, 105) - Average Color: 100,65,56
Block at (35, 105) - Average Color: 39,63,68
Block at (70, 105) - Average Color: 158,90,86
Block at (105, 105) - Average Color: 176,89,100
Block at (140, 105) - Average Color: 94,67,73
Block at (175, 105) - Average Color: 128,92,117
Block at (0, 140) - Average Color: 121,72,65
Block at (35, 140) - Average Color: 51,76,64
Block at (70, 140) - Average Color: 163,111,82
Block at (105, 140) - Average Color: 170,90,96
Block at (140, 140) - Average Color: 113,79,89
Block at (175, 140) - Average Color: 161,111,134
Block at (0, 175) - Average Color: 140,123,61
Block at (35, 175) - Average Color: 53,87,77
Block at (70, 175) - Average Color: 163,112,96
Block at (105, 175) - Average Color: 174,103,97
Block at (140, 175) - Average Color: 133,98,107
Block at (175, 175) - Average Color: 196,135,145
Block at (0, 210) - Average Color: 149,163,42
Block at (35, 210) - Average Color: 94,119,59
Block at (70, 210) - Average Color: 169,147,88
Block at (105, 210) - Average Color: 160,150,92
Block at (140, 210) - Average Color: 170,139,109
Block at (175, 210) - Average Color: 199,144,151
Block at (0, 245) - Average Color: 140,161,48
Block at (35, 245) - Average Color: 130,148,83
Block at (70, 245) - Average Color: 144,120,102
Block at (105, 245) - Average Color: 175,137,88
Block at (140, 245) - Average Color: 169,142,126
Block at (175, 245) - Average Color: 209,153,159
Block at (0, 280) - Average Color: 132,157,67
Block at (35, 280) - Average Color: 141,149,91
Block at (70, 280) - Average Color: 143,145,97
Block at (105, 280) - Average Color: 159,159,113
Block at (140, 280) - Average Color: 194,186,138
Block at (175, 280) - Average Color: 207,190,148
Block at (0, 315) - Average Color: 124,146,66
Block at (35, 315) - Average Color: 114,125,66
Block at (70, 315) - Average Color: 106,122,94
Block at (105, 315) - Average Color: 99,141,113
Block at (140, 315) - Average Color: 132,159,160
Block at (175, 315) - Average Color: 195,208,134
Block at (0, 350) - Average Color: 83,97,35
Block at (35, 350) - Average Color: 63,77,40
Block at (70, 350) - Average Color: 26,52,61
Block at (105, 350) - Average Color: 45,71,97
Block at (140, 350) - Average Color: 81,99,139
Block at (175, 350) - Average Color: 171,163,101
